City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,visnes,59.3556,5.2242,41.83,81.0,100.0,10.36,NO,1679278491.0
264,vanavara,60.34,102.2797,-3.53,91.0,100.0,10.4,RU,1679278491.0
266,kemijarvi,66.7131,27.4306,25.05,96.0,100.0,8.7,FI,1679278492.0
267,sassandra,4.95,-6.0833,75.85,92.0,88.0,6.49,CI,1679278492.0
268,chuy,-33.6971,-53.4616,72.88,90.0,1.0,6.53,UY,1679278492.0
269,luanda,-8.8368,13.2343,77.79,79.0,100.0,3.09,AO,1679278493.0
270,pishin,30.5803,66.9961,54.37,51.0,0.0,1.95,PK,1679278493.0
271,belokurikha,51.9959,84.9896,10.08,89.0,100.0,3.11,RU,1679278493.0
273,garissa,-0.4536,39.6401,79.21,75.0,100.0,11.18,KE,1679278494.0
274,lira,2.235,32.9097,66.87,78.0,81.0,0.98,UG,1679278494.0
275,rio gallegos,-51.6226,-69.2181,46.45,61.0,0.0,29.93,AR,1679278494.0
276,isoka,-10.1606,32.6335,60.93,99.0,98.0,1.25,ZM,1679278495.0
277,araouane,18.9048,-3.5265,72.91,12.0,0.0,11.41,ML,1679278495.0
278,rawson,-43.3002,-65.1023,60.55,60.0,3.0,12.35,AR,1679278495.0
279,port-gentil,-0.7193,8.7815,80.42,75.0,100.0,1.68,GA,1679278496.0
280,los llanos de aridane,28.6585,-17.9182,60.55,75.0,40.0,11.5,ES,1679278496.0
281,cairns,-16.9167,145.7667,93.07,74.0,40.0,13.8,AU,1679278496.0
282,souillac,-20.5167,57.5167,73.78,100.0,40.0,2.3,MU,1679278497.0
283,akdepe,42.0551,59.3788,42.01,51.0,0.0,10.54,TM,1679278497.0
284,mali,12.079,-12.2982,65.79,27.0,24.0,4.5,GN,1679278497.0
286,florianopolis,-27.6146,-48.5012,76.23,94.0,40.0,10.36,BR,1679278472.0
287,coahuayana,18.7333,-103.6833,70.57,70.0,0.0,0.6,MX,1679278498.0
288,zhezkazgan,47.8043,67.7144,15.78,73.0,0.0,20.13,KZ,1679278498.0
290,alamosa,37.4695,-105.87,31.98,51.0,0.0,8.05,US,1679278499.0
291,barguzin,53.6167,109.6167,31.48,74.0,40.0,0.87,RU,1679278499.0
292,high level,58.5169,-117.136,32.11,59.0,0.0,3.44,CA,1679278499.0
293,harper,4.375,-7.7169,78.89,83.0,99.0,7.74,LR,1679278500.0
294,lagos,6.5833,3.75,78.03,84.0,100.0,1.99,NG,1679278379.0
295,bubaque,11.2833,-15.8333,75.92,79.0,12.0,14.18,GW,1679278500.0
296,khandyga,62.6667,135.6,-5.42,85.0,100.0,4.12,RU,1679278500.0
297,gamba,-2.65,10.0,77.22,83.0,100.0,1.83,GA,1679278501.0
298,pevek,69.7008,170.3133,15.31,89.0,100.0,4.88,RU,1679278501.0
299,antalaha,-14.9003,50.2788,75.07,88.0,39.0,4.0,MG,1679278501.0
300,white rock,49.0164,-122.8026,57.88,59.0,100.0,3.0,CA,1679278507.0
301,marsaxlokk,35.8419,14.5431,58.08,77.0,75.0,10.36,MT,1679278507.0
302,san policarpo,12.1791,125.5072,80.67,62.0,100.0,8.21,PH,1679278508.0
303,omsukchan,62.5333,155.8,8.06,76.0,94.0,4.47,RU,1679278508.0
304,clonakilty,51.6231,-8.8706,51.01,97.0,100.0,16.62,IE,1679278509.0
305,namatanai,-3.6667,152.4333,84.79,65.0,100.0,8.21,PG,1679278509.0
307,itaituba,-4.2761,-55.9836,72.16,98.0,99.0,1.03,BR,1679278453.0
308,boa vista,2.8197,-60.6733,80.58,57.0,0.0,6.91,BR,1679278510.0
310,necochea,-38.5473,-58.7368,62.08,76.0,85.0,7.52,AR,1679278510.0
311,murgab,37.4966,61.9714,52.74,35.0,0.0,5.28,TM,1679278511.0
312,trairi,-3.2778,-39.2689,74.95,92.0,99.0,4.45,BR,1679278215.0
313,tiarei,-17.5333,-149.3333,86.02,77.0,99.0,9.15,PF,1679278513.0
314,mizan teferi,6.9833,35.5833,63.3,65.0,99.0,2.98,ET,1679278513.0
315,lufilufi,-13.8745,-171.5986,87.58,76.0,98.0,16.71,WS,1679278514.0
316,atasu,48.6814,71.6433,6.6,76.0,0.0,12.66,KZ,1679278514.0
317,allapalli,19.4167,80.0667,70.38,71.0,0.0,2.24,IN,1679278514.0
318,chislaz,47.2833,22.2333,45.21,56.0,100.0,3.6,RO,1679278515.0
319,bengkulu,-3.8004,102.2655,81.21,76.0,81.0,2.3,ID,1679278515.0
320,sorland,67.667,12.6934,35.46,72.0,94.0,20.22,NO,1679278516.0
321,flinders,-34.5833,150.8552,71.19,76.0,100.0,5.01,AU,1679278516.0
323,lavrentiya,65.5833,-171.0,21.85,95.0,100.0,9.28,RU,1679278517.0
324,port-cartier,50.0334,-66.8654,26.28,69.0,88.0,19.44,CA,1679278517.0
325,kangaatsiaq,68.3065,-53.4641,12.79,96.0,100.0,6.02,GL,1679278518.0
326,meulaboh,4.1363,96.1285,79.36,84.0,100.0,3.69,ID,1679278518.0
327,maldonado,-34.6667,-54.9167,72.14,93.0,0.0,2.89,UY,1679278518.0
328,vostok,46.4856,135.8833,38.28,85.0,0.0,5.68,RU,1679278519.0
329,hong gai,20.956,107.0946,73.31,87.0,100.0,5.5,VN,1679278519.0
330,south sioux city,42.4739,-96.4136,42.75,30.0,0.0,17.27,US,1679278520.0
331,panguna,-6.3164,155.4848,83.89,53.0,26.0,3.18,PG,1679278520.0
332,avdon,54.6667,55.7167,25.92,54.0,100.0,11.18,RU,1679278520.0
333,moose factory,51.2585,-80.6094,-5.82,84.0,0.0,0.0,CA,1679278521.0
334,north myrtle beach,33.816,-78.68,50.05,63.0,0.0,0.0,US,1679278521.0
335,haimen,23.1935,116.6142,67.89,79.0,93.0,8.72,CN,1679278522.0
336,lethem,3.3803,-59.7968,82.45,40.0,0.0,11.36,GY,1679278522.0
337,geraldton,-28.7667,114.6,81.01,61.0,1.0,14.97,AU,1679278353.0
338,georgetown,5.4112,100.3354,85.95,79.0,20.0,2.3,MY,1679278228.0
339,kapit,2.0167,112.9333,74.57,99.0,100.0,2.95,MY,1679278523.0
340,cayenne,4.9333,-52.3333,78.84,78.0,14.0,5.75,GF,1679278523.0
341,ypsonas,34.6884,32.9574,52.77,82.0,40.0,3.44,CY,1679278524.0
342,krasnorechenskiy,44.6265,135.3532,45.73,58.0,0.0,4.25,RU,1679278524.0
343,saskylakh,71.9167,114.0833,-23.8,94.0,99.0,4.72,RU,1679278337.0
344,tabou,4.423,-7.3528,77.63,88.0,60.0,6.96,CI,1679278525.0
345,dinan,48.4167,-2.25,46.45,82.0,100.0,6.82,FR,1679278525.0
346,paamiut,61.994,-49.6678,18.34,69.0,92.0,10.63,GL,1679278525.0
347,nuuk,64.1835,-51.7216,25.95,81.0,100.0,11.23,GL,1679278526.0
348,ono,34.85,134.9333,58.48,39.0,8.0,5.64,JP,1679278526.0
